10.0021	6877.05	-21.0303
30.0064	6877.05	-21.3512
50.0107	6877.05	-21.5248
70.015	6877.05	-21.5829
90.0192	6877.05	-21.5552
110.024	6877.05	-21.4702
130.028	6877.05	-21.3536
150.032	6877.05	-21.2277
170.036	6877.05	-21.1108
190.041	6877.05	-21.0164
210.045	6877.05	-20.9528
230.049	6877.05	-20.9234
250.053	6877.05	-20.9269
270.058	6877.05	-20.9575
290.062	6877.05	-21.0059
310.066	6877.05	-21.0695
330.071	6877.05	-21.1501
350.075	6877.05	-21.243
370.079	6877.05	-21.3387
390.083	6877.05	-21.4274
410.088	6877.05	-21.5001
430.092	6877.05	-21.5497
450.096	6877.05	-21.5711
470.1	6877.05	-21.562
490.105	6877.05	-21.5228
510.109	6877.05	-21.4574
530.113	6877.05	-21.3724
550.118	6877.05	-21.2773
570.122	6877.05	-21.1832
590.126	6877.05	-21.0967
610.13	6877.05	-21.0223
630.135	6877.05	-20.9638
650.139	6877.05	-20.9239
670.143	6877.05	-20.9026
690.147	6877.05	-20.8959
710.152	6877.05	-20.9004
730.156	6877.05	-20.9117
750.16	6877.05	-20.9256
770.165	6877.05	-20.9383
790.169	6877.05	-20.946
810.173	6877.05	-20.9462
830.177	6877.05	-20.9367
850.182	6877.05	-20.916
870.186	6877.05	-20.8835
890.19	6877.05	-20.8402
910.195	6877.05	-20.7871
930.199	6877.05	-20.7255
950.203	6877.05	-20.657
970.207	6877.05	-20.5878
990.212	6877.05	-20.523
1010.22	6877.05	-20.466
1030.22	6877.05	-20.4188
1050.22	6877.05	-20.3815
1070.23	6877.05	-20.3526
1090.23	6877.05	-20.3298
1110.24	6877.05	-20.31
1130.24	6877.05	-20.2887
1150.25	6877.05	-20.2715
1170.25	6877.05	-20.2694
1190.25	6877.05	-20.2992
1210.26	6877.05	-20.388
1230.26	6877.05	-20.5568
1250.27	6877.05	-20.8185
1270.27	6877.05	-21.1781
1290.28	6877.05	-21.6307
1310.28	6877.05	-22.1605
1330.28	6877.05	-22.741
1350.29	6877.05	-23.3348
1370.29	6877.05	-23.8961
1390.3	6877.05	-24.414
1410.3	6877.05	-24.8852
1430.31	6877.05	-25.3155
1450.31	6877.05	-25.6995
1470.31	6877.05	-26.0318
1490.32	6877.05	-26.309
1510.32	6877.05	-26.5301
1530.33	6877.05	-26.6973
